DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2018-08-10 18:40:00-06:00	TZID=America/Denver	2018-08-10 21:40:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-20 14:05:00-06:00	TZID=America/Denver	2018-05-20 17:05:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-09-12 18:40:00-06:00	TZID=America/Denver	2018-09-12 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-26 20:15:00-06:00	TZID=America/Denver	2018-06-26 23:15:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-08-15 18:10:00-06:00	TZID=America/Denver	2018-08-15 21:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Houston Astros	Away
2018-07-12 13:10:00-06:00	TZID=America/Denver	2018-07-12 16:10:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-27 20:15:00-06:00	TZID=America/Denver	2018-06-27 23:15:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-09-01 18:40:00-06:00	TZID=America/Denver	2018-09-01 21:40:00-06:00	TZID=America/Denver	Colorado Rockies @ San Diego Padres	Away
2018-06-23 13:10:00-06:00	TZID=America/Denver	2018-06-23 16:10:00-06:00	TZID=America/Denver	Miami Marlins @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-30 17:15:00-06:00	TZID=America/Denver	2018-06-30 20:15:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-08-11 18:10:00-06:00	TZID=America/Denver	2018-08-11 21:10:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-12 13:10:00-06:00	TZID=America/Denver	2018-08-12 16:10:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-25 18:40:00-06:00	TZID=America/Denver	2018-05-25 21:40:00-06:00	TZID=America/Denver	Cincinnati Reds @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-27 20:07:00-06:00	TZID=America/Denver	2018-08-27 23:07:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Angels	Away
2018-06-18 18:40:00-06:00	TZID=America/Denver	2018-06-18 21:40:00-06:00	TZID=America/Denver	New York Mets @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-24 18:40:00-06:00	TZID=America/Denver	2018-09-24 21:40:00-06:00	TZID=America/Denver	Philadelphia Phillies @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-02 18:40:00-06:00	TZID=America/Denver	2018-07-02 21:40:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-03 13:10:00-06:00	TZID=America/Denver	2018-09-03 16:10:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-07 14:10:00-06:00	TZID=America/Denver	2018-07-07 17:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Seattle Mariners	Away
2018-08-28 20:07:00-06:00	TZID=America/Denver	2018-08-28 23:07:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Angels	Away
2018-07-04 18:10:00-06:00	TZID=America/Denver	2018-07-04 21:10:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-14 19:10:00-06:00	TZID=America/Denver	2018-07-14 22:10:00-06:00	TZID=America/Denver	Seattle Mariners @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-03 18:10:00-06:00	TZID=America/Denver	2018-07-03 21:10:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-11 18:40:00-06:00	TZID=America/Denver	2018-09-11 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-24 18:40:00-06:00	TZID=America/Denver	2018-08-24 21:40:00-06:00	TZID=America/Denver	St. Louis Cardinals @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-24 13:10:00-06:00	TZID=America/Denver	2018-06-24 16:10:00-06:00	TZID=America/Denver	Miami Marlins @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-04 17:10:00-06:00	TZID=America/Denver	2018-08-04 20:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Milwaukee Brewers	Away
2018-07-13 18:40:00-06:00	TZID=America/Denver	2018-07-13 21:40:00-06:00	TZID=America/Denver	Seattle Mariners @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-26 19:10:00-06:00	TZID=America/Denver	2018-05-26 22:10:00-06:00	TZID=America/Denver	Cincinnati Reds @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-28 13:45:00-06:00	TZID=America/Denver	2018-06-28 16:45:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-07-27 18:40:00-06:00	TZID=America/Denver	2018-07-27 21:40:00-06:00	TZID=America/Denver	Oakland Athletics @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-03 18:10:00-06:00	TZID=America/Denver	2018-08-03 21:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Milwaukee Brewers	Away
