DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2019-08-31 18:10:00	TZID=America/Denver	2019-08-31 21:10:00	TZID=America/Denver	Pir@es @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-01 13:10:00	TZID=America/Denver	2019-09-01 16:10:00	TZID=America/Denver	Pir@es @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-10 18:40:00	TZID=America/Denver	2019-09-10 21:40:00	TZID=America/Denver	Cardinals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-11 18:40:00	TZID=America/Denver	2019-09-11 21:40:00	TZID=America/Denver	Cardinals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-12 13:10:00	TZID=America/Denver	2019-09-12 16:10:00	TZID=America/Denver	Cardinals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-13 18:40:00	TZID=America/Denver	2019-09-13 21:40:00	TZID=America/Denver	Padres @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-14 18:10:00	TZID=America/Denver	2019-09-14 21:10:00	TZID=America/Denver	Padres @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-15 13:10:00	TZID=America/Denver	2019-09-15 16:10:00	TZID=America/Denver	Padres @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-16 18:40:00	TZID=America/Denver	2019-09-16 21:40:00	TZID=America/Denver	Mets @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-17 18:40:00	TZID=America/Denver	2019-09-17 21:40:00	TZID=America/Denver	Mets @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-18 13:10:00	TZID=America/Denver	2019-09-18 16:10:00	TZID=America/Denver	Mets @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-27 18:10:00	TZID=America/Denver	2019-09-27 21:10:00	TZID=America/Denver	Brewers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-28 18:10:00	TZID=America/Denver	2019-09-28 21:10:00	TZID=America/Denver	Brewers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-09-29 13:10:00	TZID=America/Denver	2019-09-29 16:10:00	TZID=America/Denver	Brewers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
